img,date,location,city,state,species,clicked_by,scientific_name,sub_species,species_name,sub_sub_family,sub_family,latitude,longitude
2-1.jpg,12-12-20,IGNOU Campus,New Delhi,Delhi,Indian Skipper,Kannan Sandeep,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,28.5025,77.1988
2-2.jpg,29-03-20,IGNOU Campus,New Delhi,Delhi,Indian Skipper,Kannan Sandeep,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,28.5025,77.1988
2-3.jpg,22-09-19,Aravalli Biodiversity Park,Gurgaon,Haryana,Grizzled Skipper,Nishand Venugopal,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,28.3736,77.1709
2-4.jpg,20-08-19,"Sanjay Van,New Delhi",New Delhi,Delhi,Grizzled Skipper,Chandra Bhushan,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,28.5309,77.1801
2-5.jpg,08-08-19,"Asola Bhatti Wildlife Sanctuary,New Delhi",New Delhi,Delhi,Light Pigmy Skipper,Conservation Education Centre,Gegenes nostrodamus,nostrodamus,Gegenes,Baorini,Hesperiinae,28.4762,77.23
2-6.jpg,09-07-19,"Asola Bhatti Wildlife Sanctuary,New Delhi",New Delhi,Delhi,Light Pigmy Skipper,Lakhan Kohli,Gegenes nostrodamus,nostrodamus,Gegenes,Baorini,Hesperiinae,28.4762,77.23
2-7.jpg,18-03-19,"Asola Bhatti Wildlife Sanctuary,New Delhi",New Delhi,Delhi,Indian Skipper,Conservation Education Centre,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,28.4762,77.23
2-8.jpg,15-09-18,APS Dhaula Kuan,New Delhi,Delhi,Lesser Millet Skipper,Sandhya Phalke,Pelopidas Mathias,Mathias,Pelopidas,Baorini,Hesperiinae,28.6008,77.1689
2-9.jpg,07-09-18,"Asola Bhatti Wildlife Sanctuary,New Delhi",New Delhi,Delhi,Light Pigmy Skipper,Sohail Madan,Gegenes nostrodamus,nostrodamus,Gegenes,Baorini,Hesperiinae,28.4762,77.23
2-10.jpg,12-08-18,"Sanjay Van,New Delhi",New Delhi,Delhi,Grizzled Skipper,Chandra Bhushan,Spialia Galba,galba,Spialia,Carcharodini,Pyrginae,28.5309,77.1801
2-11.jpg,29-07-18,"Mangar Forest Area,Faridabad,Haryana",Faridabad,Haryana,Indian Skipper,Fermin Jose,Spialia Galba,Galba,Spialia,Carcharodini,Pyrginae,28.3736,77.1709
